title,link
(여자)아이들((G)I-DLE) - I-LOG #19 민니의 파리 브이로그 😘 | (ENG/CHN),https://www.youtube.com/watch?v=riLm94E6EfE
(여자)아이들((G)I-DLE) - Spoiler Alert : [I feel] #SHUHUA,https://www.youtube.com/watch?v=TFb3ITn3TyQ
(여자)아이들((G)I-DLE) - Spoiler Alert : [I feel] #YUQI,https://www.youtube.com/watch?v=6P3fqtf3ibM
(여자)아이들((G)I-DLE) - Character Introduction : [I feel],https://www.youtube.com/watch?v=qg8vNx_jQYU
(여자)아이들((G)I-DLE) - Announcement : [I feel] New Episodes,https://www.youtube.com/watch?v=URh5fgVufm4
[#HASHTALK] EP.22 칭찬은 소연을 춤추게 한다 💛🖤 (Feat. 투쿨포스쿨) (ENG/CHN)ㅣ(여자)아이들 ((G)I-DLE),https://www.youtube.com/watch?v=QWQfHKGmSeM
[(G)맘대로 아이들] EP.08 긴장해. 케이팝 기강 잡으러 온다. | 2023 컴백 세미나 (ENG/CHN) | (여자)아이들 ((G)I-DLE),https://www.youtube.com/watch?v=uvEYX0MSs1s
[(G)맘대로 아이들] EP.07 특 시키면 일단 함 | 2023 컴백 세미나 (ENG/CHN) | (여자)아이들 ((G)I-DLE),https://www.youtube.com/watch?v=ar1ZMNKDbKI
(여자)아이들((G)I-DLE) - I-TALK #122 : 미연의 '혜미리예채파' 제작 발표회 비하인드 (ENG/CHN),https://www.youtube.com/watch?v=pdkt_wXOtW0
(여자)아이들((G)I-DLE) - I-TALK #121 : MC 여니의 스페셜 스테이지 비하인드 🌸 (ENG/CHN),https://www.youtube.com/watch?v=Rq-sSDdMOxI
[(G)맘대로 아이들] EP.06 흥 없다면서요... | 2023 컴백 세미나 (ENG/CHN) | (여자)아이들 ((G)I-DLE),https://www.youtube.com/watch?v=MfTv2OX4Nz4
[(G)맘대로 아이들] EP.05 다음 컴백의 운명은...?! | 2023 컴백 세미나 (ENG/CHN) | (여자)아이들 ((G)I-DLE),https://www.youtube.com/watch?v=PwsQ30b-A-k
[#HASHTALK] EP.21 유닛 계획 중인 미연? 🤭 (ENG/CHN)ㅣ(여자)아이들 ((G)I-DLE),https://www.youtube.com/watch?v=dDZT1faYx0Y
[(G)맘대로 아이들] EP.04 포지션 뺏으러 왔습니다. | 2023 컴백 세미나 (ENG/CHN) | (여자)아이들 ((G)I-DLE),https://www.youtube.com/watch?v=QFCP_VVQMgg
[(G)맘대로 아이들] EP.03 대환장 주주총회 | 2023 컴백 세미나 (ENG/CHN) | (여자)아이들 ((G)I-DLE),https://www.youtube.com/watch?v=r0MrzKxPqxw
(여자)아이들((G)I-DLE) - I-TALK #120 : 분금치의 엠카운트다운 비하인드 💖💚 (ENG/CHN),https://www.youtube.com/watch?v=Qu71MoWLA3c
(여자)아이들((G)I-DLE) - I-TALK #119 : 3RD FAN MEETING [행운의 편지] 비하인드 PART 2 (ENG/CHN),https://www.youtube.com/watch?v=fngLL-2V5T8
[(G)맘대로 아이들] EP.02 매니저 그만두겠습니다.. | 2023 컴백 세미나 (ENG/CHN) | (여자)아이들 ((G)I-DLE),https://www.youtube.com/watch?v=4bDBfsBCjFg
[(G)맘대로 아이들] EP.01 이게...맞냐...? | 2023 컴백 세미나 (ENG/CHN) | (여자)아이들 ((G)I-DLE),https://www.youtube.com/watch?v=HU6K3TV2AdQ
[(G)맘대로 아이들] TEASER ★2023 컴백 세미나★ (ENG/CHN) | (여자)아이들 ((G)I-DLE),https://www.youtube.com/watch?v=pKMhyV1HiqE
(여자)아이들((G)I-DLE) - I-TALK #118 : 3RD FAN MEETING [행운의 편지] 비하인드 PART 1 (ENG/CHN),https://www.youtube.com/watch?v=D4c-8wlkzpc
우기(YUQI) - 'Flowers / Miley Cyrus' (Cover),https://www.youtube.com/watch?v=0X4XGrK_PwM
(여자)아이들((G)I-DLE) - I-LOG #18 (여자)아이들의 먹방 브이로그 🥤 | (ENG/CHN),https://www.youtube.com/watch?v=9XiIpdo7xhA
[#HASHTALK] EP.20 무대를 찢기 위해 다리도 찢는 (여자)아이들 🔥 (ENG/CHN)ㅣ(여자)아이들 ((G)I-DLE),https://www.youtube.com/watch?v=zi8zJBT2QyE
(여자)아이들((G)I-DLE) - I-TALK #117 : '행운의 편지' 팬미팅 VCR 촬영 비하인드 💞 (ENG/CHN),https://www.youtube.com/watch?v=UZbO1ccNb84
(여자)아이들((G)I-DLE) - I-TALK #116 : 서울가요대상 비하인드 🌟 (ENG/CHN),https://www.youtube.com/watch?v=LEp7sPPCkII
[#HASHTALK] EP.19 민니와 로띠 싸이마이의 상관관계 🍽 (ENG/CHN)ㅣ(여자)아이들 ((G)I-DLE),https://www.youtube.com/watch?v=HYZrwHYR8NQ
(여자)아이들((G)I-DLE) - I-LOG #17 민니의 태국 브이로그 🌟 (Feat. 우기와의 데이트 🥰) | (ENG/CHN),https://www.youtube.com/watch?v=wHqn-UIyLHg
(여자)아이들((G)I-DLE) - 'Abracadabra' (Cover) @ OFFICIAL FAN CLUB NEVERLAND 3RD FAN MEETING,https://www.youtube.com/watch?v=wMmL0Ufb7u4
(여자)아이들((G)I-DLE) - I-LOG #16 소연의 슬기로운 격리 생활 ✨ (ENG/CHN),https://www.youtube.com/watch?v=URlJud2rlMo
(여자)아이들((G)I-DLE) - 'TOMBOY' @ OFFICIAL FAN CLUB NEVERLAND 3RD FAN MEETING,https://www.youtube.com/watch?v=gYDo7FOyz1Q
(여자)아이들((G)I-DLE) - I-TALK #115 : 골든디스크어워즈 비하인드 💗 (ENG/CHN),https://www.youtube.com/watch?v=RAKBokE7C-8
(여자)아이들((G)I-DLE) - I-TALK #114 : 2022 연말 무대 비하인드 💕 (ENG/CHN),https://www.youtube.com/watch?v=J9Xh4_zoWD0
(여자)아이들((G)I-DLE) - I-LOG #15 민니의 해피 크리스마스 🎄❤ (ENG/CHN),https://www.youtube.com/watch?v=ryNHXwE3uDM
(여자)아이들((G)I-DLE) - I-LOG #14 (여자)아이들 in 자카르타 🙌 (ENG/CHN),https://www.youtube.com/watch?v=pf_I0r7fUck
(여자)아이들((G)I-DLE) - I-TALK #113 : 민니의 'Recuérdame' 촬영 비하인드 (ENG/CHN),https://www.youtube.com/watch?v=tZM8ZZhcbiQ
민니(MINNIE) - 'Recuérdame / Coco OST' (Cover),https://www.youtube.com/watch?v=P7zU8MNxAoU
(여자)아이들((G)I-DLE) - 'Nxde' Recording Behind (ENG/CHN),https://www.youtube.com/watch?v=F8p3RR37naI
[#HASHTALK] EP.18 멤버들이 바라보는 소연이는 ❓ (ENG/CHN)ㅣ(여자)아이들 ((G)I-DLE),https://www.youtube.com/watch?v=CQO4TFM0oZk
(여자)아이들((G)I-DLE) - I-TALK #112 : 2023 시즌 그리팅 비하인드 (ENG/CHN),https://www.youtube.com/watch?v=2lDPw8FP0rI
(여자)아이들((G)I-DLE) - I-LOG #13 비 오는 오사카에서 분금치 💖💚 | (여자)아이들 in MAMA (ENG/CHN),https://www.youtube.com/watch?v=VagJTHGmjAg
"(여자)아이들((G)I-DLE), Steve Aoki - 'Nxde (Steve Aoki Remix)' Visualizer",https://www.youtube.com/watch?v=qRrV31S7oO0
"(여자)아이들((G)I-DLE), Steve Aoki - 'Nxde (Steve Aoki Remix)' Teaser",https://www.youtube.com/watch?v=xqRjm5ulgJs
(여자)아이들((G)I-DLE) - I-LOG #12 칠레에 가게 된 (여자)아이들 ✈ (ENG/CHN),https://www.youtube.com/watch?v=bsMO-p89ORg
I-MISSION Ep.어차피 상품은 (?) #IMISSION #아이미션 #GIDLE #여자아이들,https://www.youtube.com/watch?v=Zm6lCu4FRbI
